Gene_name_canonical,consensus graph-based annotation (this study),Leiden cluster label (this study),Ground truth (ML6.0),"Itzhak et al. 2016, compartment","Itzhak et al. 2016, global"
NADK,14-3-3_scaffold,0,,,Mostly Cytosolic
NAV1,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
NEK1,14-3-3_scaffold,0,,,
NF1,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
NOVA2,14-3-3_scaffold,0,,,
PACS2,14-3-3_scaffold,0,,,
PFKFB2,14-3-3_scaffold,0,,Endosome,Mostly Cytosolic
PI4KB,14-3-3_scaffold,0,,Large Protein Complex,Mostly Cytosolic
PLCH1,14-3-3_scaffold,0,,,
PLEKHG4,14-3-3_scaffold,0,,Large Protein Complex,Mostly Cytosolic
PNPLA2,14-3-3_scaffold,0,,,Mostly Cytosolic
PPP1R3D,14-3-3_scaffold,0,,,Mostly Cytosolic
PTOV1,14-3-3_scaffold,0,,,Mostly Cytosolic
PTPN3,14-3-3_scaffold,0,,Plasma membrane,Mostly Organellar
Q5IBP5[p],14-3-3_scaffold,0,,,
RACGAP1,14-3-3_scaffold,0,,No Prediction,Broad distribution
RAF1,14-3-3_scaffold,0,,,Mostly Cytosolic
RALGPS2,14-3-3_scaffold,0,,,Mostly Cytosolic
RASAL2 (Q6P4F9),14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
RASAL2 (Q9UJF2),14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
RASSF7,14-3-3_scaffold,0,,,Mostly Cytosolic
RFX7,14-3-3_scaffold,0,,,Mostly Nuclear
RICTOR,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
SASH1,14-3-3_scaffold,0,,,
SH3BP5L,14-3-3_scaffold,0,,,Mostly Cytosolic
SH3PXD2A,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
SHCBP1,14-3-3_scaffold,0,,Large Protein Complex,Nuclear and Cytosolic
SHROOM1,14-3-3_scaffold,0,,,Mostly Cytosolic
SIK3,14-3-3_scaffold,0,,,Mostly Cytosolic
SOGA1,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
SPIRE1,14-3-3_scaffold,0,,,Broad distribution
SPRYD3,14-3-3_scaffold,0,,,Organellar and Cytosolic
SRGAP2,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
TANC1,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
TANC2,14-3-3_scaffold,0,,Large Protein Complex,Organellar and Cytosolic
TBC1D4,14-3-3_scaffold,0,,,Mostly Cytosolic
TBC1D7,14-3-3_scaffold,0,,,Mostly Cytosolic
TSC1,14-3-3_scaffold,0,,,Mostly Cytosolic
TSC2,14-3-3_scaffold,0,,,Mostly Cytosolic
USP8,14-3-3_scaffold,0,,Endosome,Organellar and Cytosolic
WDR37,14-3-3_scaffold,0,,,Organellar and Cytosolic
WDR62,14-3-3_scaffold,0,,,Mostly Cytosolic
WWC2,14-3-3_scaffold,0,,,Mostly Cytosolic
YWHAB,14-3-3_scaffold,0,,Large Protein Complex,Mostly Cytosolic
YWHAE,14-3-3_scaffold,0,,Large Protein Complex,Broad distribution
YWHAG,14-3-3_scaffold,0,,Large Protein Complex,Mostly Cytosolic
YWHAQ,cytosol,0,,Large Protein Complex,Mostly Cytosolic
YWHAZ,14-3-3_scaffold,0,,Large Protein Complex,Broad distribution
ZBTB21,14-3-3_scaffold,0,,,Nuclear and Cytosolic
ZFP36L2,14-3-3_scaffold,0,,,Organellar and Cytosolic
ADAM11,plasma_membrane,1,,,
ADGRL1,plasma_membrane,1,,,
AIDA,plasma_membrane,1,plasma membrane,Plasma membrane,Organellar and Cytosolic
AMER1,plasma_membrane,1,,,
ATP1A1,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
ATP2B4,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
B4E106[p],plasma_membrane,1,,,
B4E2V3[p],plasma_membrane,1,,,
BSG,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
BTN2A1,plasma_membrane,1,,Plasma membrane,Mostly Organellar
CAB39,actin_cytoskeleton,1,,Plasma membrane,Nuclear and Cytosolic
CACNA2D2,plasma_membrane,1,,,
CADM1,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
CAVIN1,plasma_membrane,1,,Actin binding proteins,Mostly Organellar
CCDC8,plasma_membrane,1,,,
CCM2,plasma_membrane,1,,,Mostly Organellar
CD109,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
CD99 (P14209),plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
CDC42EP1,plasma_membrane,1,,Actin binding proteins,Broad distribution
CHMP1A (Q9HD42),cytosol,1,,Endosome,Organellar and Cytosolic
CLIC4,plasma_membrane,1,plasma membrane,Plasma membrane,Organellar and Cytosolic
CNP,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
CTNNA1,plasma_membrane,1,,Large Protein Complex,Organellar and Cytosolic
CTNNA2,plasma_membrane,1,,,
CTNNB1,plasma_membrane,1,,Large Protein Complex,Broad distribution
CTNND1 (A0A669KB05),plasma_membrane,1,,No Prediction,Organellar and Cytosolic
CUL7,plasma_membrane,1,,,Mostly Cytosolic
DENND6A,plasma_membrane,1,,Endosome,Organellar and Cytosolic
DKFZp761I2124,cytosol,1,,,
DSG2,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
EFNB3,plasma_membrane,1,,,
EHD1,plasma_membrane,1,,Endosome,Organellar and Cytosolic
EMB,plasma_membrane,1,,,
EPHB2,plasma_membrane,1,,,
EZR,plasma_membrane,1,,Plasma membrane,Broad distribution
FRS2,plasma_membrane,1,,,Mostly Organellar
FTSJ1 (A0A0S2Z5C9),plasma_membrane,1,,Large Protein Complex,Mostly Cytosolic
FXYD6,plasma_membrane,1,,,
GLIPR2,plasma_membrane,1,,,
GNAI2,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
GNAI3,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
GNAS (A0A0S2Z3S5),plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
GNAS (A0A0S2Z3H8),plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
GNB1,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
GNB2,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
GNB4,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
GNG12,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
GNG2,plasma_membrane,1,,,
GNG4,plasma_membrane,1,,,
GNG5,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
GNG7,plasma_membrane,1,,,Mostly Organellar
IFITM1,plasma_membrane,1,,,
ITGB1,plasma_membrane,1,ER,ER,Mostly Organellar
KIDINS220 (A0A076NBC8),plasma_membrane,1,,Plasma membrane,Mostly Organellar
KRAS (A0A024RAV5),plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
LLGL1,plasma_membrane,1,,Plasma membrane,Organellar and Cytosolic
MARCKS,plasma_membrane,1,,Ergic/cisGolgi,Organellar and Cytosolic
MARCKSL1,plasma_membrane,1,plasma membrane,Plasma membrane,Organellar and Cytosolic
MET,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
MSN,plasma_membrane,1,plasma membrane,Plasma membrane,Organellar and Cytosolic
NEU3,plasma_membrane,1,,,Mostly Organellar
NLGN1,plasma_membrane,1,,,
NRN1,plasma_membrane,1,,,
NRP2,plasma_membrane,1,,,
OCC1,plasma_membrane,1,,,
PALM3,plasma_membrane,1,,,
PCDH10,plasma_membrane,1,,,
PCDH9,plasma_membrane,1,,,
PKN2,actin_cytoskeleton,1,,Large Protein Complex,Organellar and Cytosolic
PLCB3,plasma_membrane,1,,Large Protein Complex,Organellar and Cytosolic
PLCD3,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
PROCR,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
PTGFRN (Q4QQP8),plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
PTP4A2,plasma_membrane,1,,Plasma membrane,Broad distribution
PTPRG,plasma_membrane,1,,,
Q9UEI6[p],plasma_membrane,1,,,
RAB13,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
RAB23,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
RAB35,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
RAC1,plasma_membrane,1,plasma membrane,Plasma membrane,Organellar and Cytosolic
RALA,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
RAP1A,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
RAP1B,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
RDX,plasma_membrane,1,,Ergic/cisGolgi,Organellar and Cytosolic
RELL1,plasma_membrane,1,,,Mostly Organellar
RHOG,plasma_membrane,1,,Plasma membrane,Organellar and Cytosolic
RSPRY1,plasma_membrane,1,,Golgi,Mostly Organellar
SDC2,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
SFT2D2,plasma_membrane,1,,Endosome,Mostly Organellar
SLC12A2,plasma_membrane,1,,Plasma membrane,Mostly Organellar
SLC16A1,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
SLC16A2,plasma_membrane,1,,,
SLC1A5,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
SLC3A2 (F5GZS6),plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
SLC4A2,plasma_membrane,1,,Plasma membrane,Mostly Organellar
SLC6A11,plasma_membrane,1,,,
SLC7A5,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
SMPDL3B,plasma_membrane,1,,,Mostly Organellar
STK10,plasma_membrane,1,,Large Protein Complex,Organellar and Cytosolic
STX4,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
STXBP3,plasma_membrane,1,plasma membrane,Plasma membrane,Mostly Organellar
SYPL1 (A8K865),plasma_membrane,1,,Endosome,Organellar and Cytosolic
TAOK1,plasma_membrane,1,,Large Protein Complex,Mostly Organellar
TENM3,plasma_membrane,1,plasma membrane,Plasma membrane,Broad distribution
TMEM237,plasma_membrane,1,,Plasma membrane,Mostly Organellar
TMEM30A,plasma_membrane,1,,Plasma membrane,Mostly Organellar
TNFRSF10B,plasma_membrane,1,,ER,Mostly Organellar
TNIK,plasma_membrane,1,,,
ULBP2,plasma_membrane,1,,Plasma membrane,Mostly Organellar
USP12,plasma_membrane,1,,,Mostly Organellar
WDR6,plasma_membrane,1,,Large Protein Complex,Mostly Cytosolic
ABCA3,lysosome,2,,,
ABCC10,lysosome,2,,,Organellar and Cytosolic
AP3B1,lysosome,2,,Endosome,Organellar and Cytosolic
AP3M1,lysosome,2,,Endosome,Organellar and Cytosolic
AP3S1,early_endosome,2,,Endosome,Organellar and Cytosolic
ARL8A,lysosome,2,,Endosome,Mostly Organellar
ARL8B,lysosome,2,,Endosome,Mostly Organellar
ATP13A2,lysosome,2,,,Mostly Organellar
BLOC1S1,lysosome,2,,Endosome,Organellar and Cytosolic
BLOC1S2,lysosome,2,,Endosome,Organellar and Cytosolic
BORCS5,lysosome,2,,Endosome,Organellar and Cytosolic
BORCS6,lysosome,2,,Endosome,Organellar and Cytosolic
BORCS7,lysosome,2,,Endosome,Organellar and Cytosolic
BORCS8,lysosome,2,,,Organellar and Cytosolic
C15orf38-AP3S2,early_endosome,2,,,
CALCOCO2,lysosome,2,,,Organellar and Cytosolic
CCZ1B,lysosome,2,,,
CLCN7,lysosome,2,,Lysosome,Mostly Organellar
CLN3,lysosome,2,,Lysosome,Mostly Organellar
CPVL,lysosome,2,,,
CREG1,lysosome,2,lysosome,Lysosome,Mostly Organellar
CTSA,lysosome,2,lysosome,Lysosome,Mostly Organellar
CTSB,lysosome,2,lysosome,Lysosome,Mostly Organellar
CTSD,lysosome,2,lysosome,Lysosome,Mostly Organellar
CTSL,lysosome,2,lysosome,Lysosome,Mostly Organellar
CTSV,lysosome,2,,Lysosome,Mostly Organellar
CTSZ,lysosome,2,early_endosome,Lysosome,Mostly Organellar
DENND11,lysosome,2,,,Mostly Organellar
DRAM2,lysosome,2,,Lysosome,Mostly Organellar
ENPP4,lysosome,2,,,
FLOT1,lysosome,2,,Actin binding proteins,Mostly Organellar
FLOT2,lysosome,2,,Actin binding proteins,Mostly Organellar
FUCA1,lysosome,2,lysosome,,Mostly Organellar
FUCA2,lysosome,2,,ER,Mostly Organellar
FYCO1,lysosome,2,,,Mostly Cytosolic
GBA1,lysosome,2,lysosome,Lysosome,Mostly Organellar
GDAP2,lysosome,2,,Endosome,Organellar and Cytosolic
GLA,lysosome,2,lysosome,Lysosome,Mostly Organellar
GLB1,lysosome,2,lysosome,Lysosome,Mostly Organellar
GM2A,lysosome,2,lysosome,Endosome,Mostly Organellar
HGSNAT,lysosome,2,,,Mostly Organellar
KXD1,lysosome,2,,Endosome,Organellar and Cytosolic
LAMP1,lysosome,2,,Lysosome,Mostly Organellar
LAMP2,lysosome,2,,Lysosome,Mostly Organellar
LAMTOR1,lysosome,2,,Lysosome,Mostly Organellar
LAMTOR2,early_endosome,2,,Lysosome,Organellar and Cytosolic
LAMTOR3,lysosome,2,,Lysosome,Mostly Organellar
LAMTOR4,lysosome,2,,Lysosome,Organellar and Cytosolic
LAMTOR5 (A0A0C4DGV4),lysosome,2,,Lysosome,Organellar and Cytosolic
LAMTOR5 (O43504),lysosome,2,,Lysosome,Organellar and Cytosolic
LGMN,lysosome,2,lysosome,Lysosome,Mostly Organellar
LIPA,lysosome,2,lysosome,Lysosome,Mostly Organellar
MCOLN1,lysosome,2,,,Mostly Organellar
MFSD1,lysosome,2,,Endosome,Mostly Organellar
MFSD8,lysosome,2,,,Mostly Organellar
MLST8,lysosome,2,,Endosome,Organellar and Cytosolic
MON1A,lysosome,2,,Plasma membrane,Mostly Organellar
MON1B,lysosome,2,,Endosome,Mostly Organellar
MTOR,lysosome,2,,Endosome,Organellar and Cytosolic
NBR1,lysosome,2,,Endosome,Organellar and Cytosolic
NEU1,lysosome,2,lysosome,Peroxisome,Mostly Organellar
NPC2,lysosome,2,lysosome,Lysosome,Mostly Organellar
OSBPL1A,lysosome,2,,,Mostly Cytosolic
PIP4P1,lysosome,2,,Endosome,Mostly Organellar
PIP4P2,lysosome,2,,,
PLA2G15,lysosome,2,lysosome,Lysosome,Mostly Organellar
PLBD2,lysosome,2,lysosome,Lysosome,Mostly Organellar
PLD3,lysosome,2,,Lysosome,Mostly Organellar
PPT1,lysosome,2,lysosome,Lysosome,Mostly Organellar
PPT2,lysosome,2,lysosome,Lysosome,Mostly Organellar
PRCP,lysosome,2,lysosome,Lysosome,Mostly Organellar
PSAP,lysosome,2,lysosome,Lysosome,Mostly Organellar
RAB39A,lysosome,2,,,
RAB9B,lysosome,2,,,
RMC1,lysosome,2,,Endosome,Mostly Organellar
RNASET2,lysosome,2,lysosome,Lysosome,Mostly Organellar
RNF13,lysosome,2,,Lysosome,Mostly Organellar
RNF167,lysosome,2,,Lysosome,Mostly Organellar
RPTOR,lysosome,2,,Endosome,Broad distribution
RRAGA,lysosome,2,,Endosome,Broad distribution
RRAGC,lysosome,2,,Lysosome,Organellar and Cytosolic
SCARB2,lysosome,2,,Lysosome,Mostly Organellar
SCPEP1,lysosome,2,lysosome,Lysosome,Mostly Organellar
SLC15A4,lysosome,2,,,Mostly Organellar
SLC18B1,lysosome,2,,Endosome,Mostly Organellar
SLC35F6,lysosome,2,,Lysosome,Mostly Organellar
SLC38A7,lysosome,2,,Lysosome,Mostly Organellar
SLC38A9,lysosome,2,,Lysosome,Mostly Organellar
SNAPIN,lysosome,2,,Endosome,Organellar and Cytosolic
SNX11,lysosome,2,,Lysosome,Mostly Organellar
SPNS1 (H3BMF4),lysosome,2,,Lysosome,Mostly Organellar
SPNS1 (Q9H2V7),lysosome,2,,Lysosome,Mostly Organellar
STARD3 (J3QLM1),lysosome,2,,Endosome,Mostly Organellar
STARD3NL,lysosome,2,,,Mostly Organellar
STK11IP,lysosome,2,,Lysosome,Mostly Organellar
TAX1BP1,lysosome,2,,Endosome,Organellar and Cytosolic
TMEM175,lysosome,2,,,
TMEM179B,lysosome,2,,,
TMEM184C,lysosome,2,,,Organellar and Cytosolic
TMEM192,lysosome,2,,Lysosome,Mostly Organellar
TOLLIP,lysosome,2,,Endosome,Organellar and Cytosolic
TOM1,lysosome,2,,,Mostly Cytosolic
TPP1,lysosome,2,lysosome,Lysosome,Mostly Organellar
TSPAN3,lysosome,2,,Lysosome,Mostly Organellar
VPS11,lysosome,2,,Endosome,Organellar and Cytosolic
VPS16,lysosome,2,,Endosome,Organellar and Cytosolic
VPS18,lysosome,2,,Endosome,Organellar and Cytosolic
VPS33A,lysosome,2,,Endosome,Organellar and Cytosolic
VPS39,lysosome,2,,Endosome,Mostly Organellar
VPS41,lysosome,2,,Endosome,Organellar and Cytosolic
WDR41,lysosome,2,,,Mostly Cytosolic
ABCB8,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
ACADS,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
ACP6,mitochondrion,3,,,
ACSS1,mitochondrion,3,,,
ALAS1,mitochondrion,3,mitochondria,Mitochondrion,Organellar and Cytosolic
ALKBH1 (Q13686),mitochondrion,3,,,Organellar and Cytosolic
ARL10,mitochondrion,3,,,
ARMC1,mitochondrion,3,,Mitochondrion,Organellar and Cytosolic
ATP5MF,mitochondrion,3,,Mitochondrion,Mostly Organellar
AUH,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
BBC3,mitochondrion,3,,,Broad distribution
BCKDHB,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
BCL2L1,mitochondrion,3,,,Organellar and Cytosolic
C8orf82,mitochondrion,3,,Mitochondrion,Mostly Organellar
CARS2,mitochondrion,3,,Mitochondrion,Mostly Organellar
CCDC90B,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
CLYBL,mitochondrion,3,,,
COX7C,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
CPS1,mitochondrion,3,,Mitochondrion,Mostly Organellar
DGLUCY,mitochondrion,3,,,
DHODH,mitochondrion,3,,Mitochondrion,Mostly Organellar
DMAC2,mitochondrion,3,,,Mostly Organellar
DMAC2L,mitochondrion,3,,Mitochondrion,Mostly Organellar
ELAC2 (B3KT00),mitochondrion,3,,Mitochondrion,Organellar and Cytosolic
ETHE1,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
EXOG,mitochondrion,3,,,Mostly Organellar
FAM210B,mitochondrion,3,,,
FARS2,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
FASTKD3,mitochondrion,3,,Mitochondrion,Mostly Organellar
FDX2,mitochondrion,3,,,Mostly Organellar
FLAD1,mitochondrion,3,,Mitochondrion,Organellar and Cytosolic
FPGS,mitochondrion,3,,,Broad distribution
GUF1,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
HEBP1,mitochondrion,3,,Actin binding proteins,Broad distribution
HSD17B8,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
HSPD1 (B7Z532),mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
HTRA2,mitochondrion,3,,Mitochondrion,Organellar and Cytosolic
ISCA2,mitochondrion,3,mitochondria,,Organellar and Cytosolic
ISOC2,mitochondrion,3,,Mitochondrion,Mostly Organellar
KIAA1191,mitochondrion,3,,,Mostly Organellar
KYAT3,mitochondrion,3,,Mitochondrion,Broad distribution
MCL1,mitochondrion,3,,,Organellar and Cytosolic
MICOS10,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
MIGA1,mitochondrion,3,,Mitochondrion,Mostly Organellar
MKKS,mitochondrion,3,,,
MMP24OS,mitochondrion,3,,,
MPC1,mitochondrion,3,,,Mostly Organellar
MPC2,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
MPV17,mitochondrion,3,,,Mostly Organellar
MRPS18C,mitochondrion,3,mitochondria,,Mostly Organellar
MRS2,mitochondrion,3,,Mitochondrion,Mostly Organellar
MT-CO1,mitochondrion,3,,Mitochondrion,Mostly Organellar
MTCH2 (E9PIE4),mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
MTFR1L,mitochondrion,3,,,Mostly Organellar
MTFR2,mitochondrion,3,,,Mostly Organellar
MTX3,mitochondrion,3,,Mitochondrion,Mostly Organellar
NDUFAF6,mitochondrion,3,,Mitochondrion,Mostly Organellar
NIPSNAP3A,mitochondrion,3,,Mitochondrion,Mostly Organellar
NT5DC3,mitochondrion,3,,,Mostly Organellar
NUBPL,mitochondrion,3,,,Mostly Organellar
OSGEPL1,mitochondrion,3,,Mitochondrion,Mostly Organellar
PCCA,mitochondrion,3,mitochondria,Mitochondrion,Organellar and Cytosolic
PDK1,mitochondrion,3,,,Mostly Organellar
PDK2,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
PDSS2,mitochondrion,3,,Mitochondrion,Mostly Organellar
PGS1,mitochondrion,3,,Mitochondrion,Mostly Organellar
PLGRKT,mitochondrion,3,,,Mostly Organellar
POLG2,mitochondrion,3,,Mitochondrion,Mostly Organellar
PPOX,mitochondrion,3,,Mitochondrion,Mostly Organellar
PREPL,mitochondrion,3,Golgi,Golgi,Mostly Cytosolic
PTPMT1,mitochondrion,3,,Mitochondrion,Mostly Organellar
RMND1,mitochondrion,3,,Mitochondrion,Mostly Organellar
RSAD1,mitochondrion,3,,,Mostly Organellar
SDHAF2,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
SDHAF3,mitochondrion,3,,,Organellar and Cytosolic
SIRT3,mitochondrion,3,,,Mostly Organellar
SLC25A15,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
SLC25A21,mitochondrion,3,,,Mostly Organellar
SLC25A25,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
SLC25A46,mitochondrion,3,,Mitochondrion,Mostly Organellar
SLC35A4,mitochondrion,3,,,
SMIM20,mitochondrion,3,,,Mostly Organellar
SMIM26,mitochondrion,3,,,
SMIM8,mitochondrion,3,,,Mostly Organellar
SOD2,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
SPG7,mitochondrion,3,,Large Protein Complex,Organellar and Cytosolic
STARD7,mitochondrion,3,,,Broad distribution
SUOX,mitochondrion,3,,,
SURF1,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
THEM4,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
TIMM17A,mitochondrion,3,mitochondria,Mitochondrion,Mostly Organellar
TMEM126B (Q8IUX1),mitochondrion,3,,Mitochondrion,Mostly Organellar
TMEM177,mitochondrion,3,,,Mostly Organellar
TMEM65,mitochondrion,3,,Mitochondrion,Mostly Organellar
TMLHE,mitochondrion,3,,,Mostly Organellar
TOMM7,mitochondrion,3,mitochondria,,Mostly Organellar
TRABD,mitochondrion,3,,Mitochondrion,Mostly Organellar
