CHO_ID	CHO_SYM	HUMAN_ID	HUMAN_SYM
100750499	Ccdc39	339829	CCDC39
100750502	Ubap1l	390595	UBAP1L
100750503	Cdc42bpa	8476	CDC42BPA
100750505	Alx4	60529	ALX4
100750506	LOC100750506	26036	ZNF451
100750509	Cbx7	23492	CBX7
100750510	Hrasls	57110	HRASLS
100750518	Enpp1	5167	ENPP1
100750519	Mcidas	345643	MCIDAS
100750521	Dclre1a	9937	DCLRE1A
100750522	Capza1	829	CAPZA1
100750523	Ms4a10	341116	MS4A10
100750524	Trh	7200	TRH
100750525	Jag1	182	JAG1
100750526	Pnkd	25953	PNKD
100750530	Gclm	2730	GCLM
100750531	Vwf	7450	VWF
100750532	Xpo7	23039	XPO7
100750533	Grap	10750	GRAP
100750534	Prpf18	8559	PRPF18
100750535	Rnf11	26994	RNF11
100750538	Bin2	51411	BIN2
100750541	LOC100750541	8748	ADAM20
100750542	Slc45a1	50651	SLC45A1
100750544	Rad21	5885	RAD21
100750545	Auts2	26053	AUTS2
100750547	Got1l1	137362	GOT1L1
100750548	LOC100750548	4069	LYZ
100750552	Hexa	3073	HEXA
100750555	Acbd6	84320	ACBD6
100750556	Nr3c2	4306	NR3C2
100750559	Phlpp1	23239	PHLPP1
100750561	Defb129	140881	DEFB129
100750563	Apc	324	APC
100750565	Ube2l3	7332	UBE2L3
100750568	Tspyl4	23270	TSPYL4
100750570	Dus2	54920	DUS2
100750571	LOC100750571	6777	STAT5B
100750573	Ptgr2	145482	PTGR2
100750575	Kmt2b	9757	KMT2B
100750576	Retsat	54884	RETSAT
100750577	Xylb	9942	XYLB
100750578	Rcbtb2	1102	RCBTB2
100750579	Invs	27130	INVS
100750580	Cs	1431	CS
100750581	LOC100750581	79020	C7orf25
100750582	Ankrd49	54851	ANKRD49
100750586	Mrto4	51154	MRTO4
100750588	Snx18	112574	SNX18
100750589	Bard1	580	BARD1
100750591	Dip2b	57609	DIP2B
100750593	LOC100750593	6319	SCD
100750594	Ca11	770	CA11
100750596	Stk35	140901	STK35
100750601	LOC100750601	5617	PRL
100750602	Rpl27a	6157	RPL27A
100750605	Cnpy4	245812	CNPY4
100750607	Pfdn6	10471	PFDN6
100750608	Vnn1	8876	VNN1
100750609	Ap2b1	163	AP2B1
100750610	Irx1	79192	IRX1
100750612	Rpl22l1	200916	RPL22L1
100750614	Tc2n	123036	TC2N
100750618	LOC100750618	644041	C18orf63
100750619	Rrp15	51018	RRP15
100750620	Bnip2	663	BNIP2
100750621	Ldb3	11155	LDB3
100750622	Pigz	80235	PIGZ
100750624	Ccdc50	152137	CCDC50
100750625	LOC100750625	11314	CD300A
100750631	Lrrc51	220074	LRTOMT
100750632	Dexi	28955	DEXI
100750636	Kdelr3	11015	KDELR3
100750637	LOC100750637	6672	SP100
100750639	Pex16	9409	PEX16
100750640	Cd44	960	CD44
100750641	Fam71f2	346653	FAM71F2
100750643	Astl	431705	ASTL
100750645	Sstr3	6753	SSTR3
100750647	Olfml2a	169611	OLFML2A
100750648	LOC100750648	6252	RTN1
100750650	Pptc7	160760	PPTC7
100750655	Aspg	374569	ASPG
100750657	LOC100750657	3437	IFIT3
100750658	CUNH20orf141	128653	C20orf141
100750662	Hoxb3	3213	HOXB3
100750667	Gch1	2643	GCH1
100750670	Fam20a	54757	FAM20A
100750672	Slc13a3	64849	SLC13A3
100750673	Hpca	3208	HPCA
100750675	Dera	51071	DERA
100750676	Asip	434	ASIP
100750677	Srsf11	9295	SRSF11
100750678	She	126669	SHE
100750679	Tnfsf9	8744	TNFSF9
100750680	Ern1	2081	ERN1
100750681	Pelo	53918	PELO
100750682	Etaa1	54465	ETAA1
100750683	Cdc34	997	CDC34
100750684	Pear1	375033	PEAR1
100750685	Exoc4	60412	EXOC4
100750686	Ambp	259	AMBP
100750689	Pi16	221476	PI16
100750691	LOC100750691	373156	GSTK1
100750694	Zcchc7	84186	ZCCHC7
100750695	LOC100750695	23245	ASTN2
100750696	Rragc	64121	RRAGC
100750697	Dll1	28514	DLL1
100750698	Prrc2c	23215	PRRC2C
100750699	Mrgpre	116534	MRGPRE
100750700	Slc25a40	55972	SLC25A40
100750701	B3gat1	27087	B3GAT1
100750703	Supt16h	11198	SUPT16H
100750704	Actr1a	10121	ACTR1A
100750706	Xrcc2	7516	XRCC2
100750707	Rpl35	11224	RPL35
100750709	Brwd1	54014	BRWD1
100750713	Camk2n2	94032	CAMK2N2
100750715	LOC100750715	25896	INTS7
100750717	Sort1	6272	SORT1
100750718	Grk1	6011	GRK1
100750720	LOC100750720	56121	PCDHB15
100750721	Atg4a	115201	ATG4A
100750723	Gde1	51573	GDE1
100750724	Klf6	1316	KLF6
100750725	Kazald1	81621	KAZALD1
100750726	Osgin1	29948	OSGIN1
100750727	Arg1	383	ARG1
100750730	Epha7	2045	EPHA7
100750732	Sdha	6389	SDHA
100750733	Rbm19	9904	RBM19
100750734	Tmem203	94107	TMEM203
100750735	Kcnk10	54207	KCNK10
100750736	Stk32c	282974	STK32C
100750737	Dnah12	201625	DNAH12
100750738	Azi2	64343	AZI2
100750740	Gpr55	9290	GPR55
100750745	LOC100750745	219968	OR5B21
100750748	Arfgef1	10565	ARFGEF1
100750750	Rc3h1	149041	RC3H1
100750756	Pts	5805	PTS
100750757	Chit1	1118	CHIT1
100750759	Slc25a42	284439	SLC25A42
100750761	Pik3r1	5295	PIK3R1
100750762	Chpt1	56994	CHPT1
100750764	LOC100750764	51161	C3orf18
100750765	Gtf2a1	2957	GTF2A1
100750766	St8sia5	29906	ST8SIA5
100750767	Mapk8ip3	23162	MAPK8IP3
100750769	Ankle2	23141	ANKLE2
100750771	Laptm4a	9741	LAPTM4A
100750772	Wee2	494551	WEE2
100750773	Rictor	253260	RICTOR
100750774	Fancb	2187	FANCB
100750775	Plat	5327	PLAT
100750776	Coq5	84274	COQ5
100750778	Ngf	4803	NGF
100750781	Mtmr3	8897	MTMR3
100750782	Nbn	4683	NBN
100750783	Ceacam16	388551	CEACAM16
100750784	Slitrk2	84631	SLITRK2
100750785	LOC100750785	219487	OR5M11
100750786	Glis2	84662	GLIS2
100750788	Ttc14	151613	TTC14
100750790	Thap12	5612	THAP12
100750791	Rasl12	51285	RASL12
100750792	LOC100750792	2052	EPHX1
100750793	Mog	4340	MOG
100750794	Ttc17	55761	TTC17
100750795	Bag2	9532	BAG2
100750797	Ndufa6	4700	NDUFA6
100750799	Nptxr	23467	NPTXR
100750800	Sct	6343	SCT
100750801	Cdipt	10423	CDIPT
100750802	Mb21d2	151963	MB21D2
100750804	Tsc22d4	81628	TSC22D4
100750806	Hbs1l	10767	HBS1L
100750809	Efemp1	2202	EFEMP1
100750810	Ctgf	1490	CTGF
100750814	Mov10	4343	MOV10
100750815	Ptgdr2	11251	PTGDR2
100750817	Ankef1	63926	ANKEF1
100750818	Tmbim1	64114	TMBIM1
100750819	Dnm1l	10059	DNM1L
100750822	LOC100750822	7385	UQCRC2
100750824	Fam160b2	64760	FAM160B2
100750825	Slc5a10	125206	SLC5A10
100750826	Frmd4a	55691	FRMD4A
100750827	Ttc39a	22996	TTC39A
100750828	Nr2e1	7101	NR2E1
100750829	Cela1	1990	CELA1
100750830	Arrb2	409	ARRB2
100750831	Stpg2	285555	STPG2
100750834	Adamts20	80070	ADAMTS20
100750838	Duoxa1	90527	DUOXA1
100750839	LOC100750839	60385	TSKS
100750840	Rab11fip1	80223	RAB11FIP1
100750844	LOC100750844	56898	BDH2
100750845	Parp6	56965	PARP6
100750848	Lactb	114294	LACTB
100750849	Lhx4	89884	LHX4
100750851	Tfec	22797	TFEC
100750852	Tmem161b	153396	TMEM161B
100750853	Kiaa1468	57614	KIAA1468
100750855	LOC100750855	140680	C20orf96
100750863	Col10a1	1300	COL10A1
100750864	Kif25	3834	KIF25
100750865	Ddx28	55794	DDX28
100750866	Hsd17b1	3292	HSD17B1
100750867	Fezf1	389549	FEZF1
100750868	Znf410	57862	ZNF410
100750870	Upk1a	11045	UPK1A
100750872	Exog	9941	EXOG
100750873	Lpar6	10161	LPAR6
100750874	Erp44	23071	ERP44
100750875	Coq10a	93058	COQ10A
100750876	Psma2	5683	PSMA2
100750877	Mre11	4361	MRE11
100750879	Trappc8	22878	TRAPPC8
100750880	Fam133a	286499	FAM133A
100750883	Arl15	54622	ARL15
100750884	LOC100750884	26154	ABCA12
100750886	Aqp6	363	AQP6
100750887	Ttc3	7267	TTC3
100750889	Rell2	285613	RELL2
100750890	LOC100750890	6319	SCD
100750891	Ntn5	126147	NTN5
100750892	LOC100750892	81050	OR5AC2
100750893	Aacs	65985	AACS
100750894	Pdyn	5173	PDYN
100750895	Atic	471	ATIC
100750896	Hps5	11234	HPS5
100750897	Kpna7	402569	KPNA7
100750899	St5	6764	ST5
100750901	Agtr2	186	AGTR2
100750902	Lamtor4	389541	LAMTOR4
100750904	Wdr46	9277	WDR46
100750908	Slc2a2	6514	SLC2A2
100750909	LOC100750909	132625	ZFP42
100750910	Phkg2	5261	PHKG2
100750912	Kdelr1	10945	KDELR1
100750915	Fbxo15	201456	FBXO15
100750917	Ncbp2	22916	NCBP2
100750918	Gmnc	647309	GMNC
100750919	Gprc5c	55890	GPRC5C
100750920	Bsnd	7809	BSND
100750923	LOC100750923	64065	PERP
100750924	Ppp2r2c	5522	PPP2R2C
100750926	LOC100750926	8395	PIP5K1B
100750927	Pla2g4a	5321	PLA2G4A
100750932	Large2	120071	LARGE2
100750933	Calu	813	CALU
100750934	LOC100750934	65265	C8orf33
100750935	Pnliprp1	5407	PNLIPRP1
100750936	LOC100750936	10393	ANAPC10
100750938	C1qtnf6	114904	C1QTNF6
100750940	Higd2a	192286	HIGD2A
100750946	Plekho1	51177	PLEKHO1
100750948	Kif26a	26153	KIF26A
100750951	Ebf4	57593	EBF4
100750954	Rps6ka3	6197	RPS6KA3
100750955	Hoxb2	3212	HOXB2
100750956	Arl13a	392509	ARL13A
100750957	LOC100750957	26648	OR7E24
100750958	Pld5	200150	PLD5
100750959	Lca5	167691	LCA5
100750960	Samd4a	23034	SAMD4A
100750962	LOC100750962	346517	OR6V1
100750963	Wipi1	55062	WIPI1
100750964	Qki	9444	QKI
100750965	Ocstamp	128506	OCSTAMP
100750966	S100pbp	64766	S100PBP
100750967	LOC100750967	133491	C5orf47
100750968	Eps8	2059	EPS8
100750969	Ahcy	191	AHCY
100750971	Il6r	3570	IL6R
100750973	Icam2	3384	ICAM2
100750974	Utp11	51118	UTP11
100750977	Fopnl	123811	FOPNL
100750978	Insrr	3645	INSRR
100750979	Lrguk	136332	LRGUK
100750980	Rgs3	5998	RGS3
100750982	Golph3	64083	GOLPH3
100750983	Mtch1	23787	MTCH1
100750985	Tmem139	135932	TMEM139
100750986	LOC100750986	400757	C1orf141
100750989	Zbtb5	9925	ZBTB5
100750990	Robo2	6092	ROBO2
100750991	Mycbp	26292	MYCBP
100750992	Fam120b	84498	FAM120B
100750993	Fmo1	2326	FMO1
100750995	Crot	54677	CROT
100750999	Fgf8	2253	FGF8
100751000	Ptchd4	442213	PTCHD4
100751001	Prkch	5583	PRKCH
100751002	Golga1	2800	GOLGA1
100751003	Atg16l2	89849	ATG16L2
100751004	Il17f	112744	IL17F
100751005	Brwd3	254065	BRWD3
100751008	Mob1b	92597	MOB1B
100751009	Lpgat1	9926	LPGAT1
100751010	Med13	9969	MED13
100751011	Celsr2	1952	CELSR2
100751012	Tmem255b	348013	TMEM255B
100751016	Psmd10	5716	PSMD10
100751018	Tpp2	7174	TPP2
100751019	Knop1	400506	KNOP1
100751020	Tacr3	6870	TACR3
100751021	Pitrm1	10531	PITRM1
100751022	Tlx1	3195	TLX1
100751023	Hsbp1	3281	HSBP1
100751025	LOC100751025	3431	SP110
100751028	Ccdc127	133957	CCDC127
100751029	Tbx5	6910	TBX5
100751030	Fam166a	401565	FAM166A
100751031	Gpr65	8477	GPR65
