MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:106927	Aff3	AF4/FMR2 family, member 3	1		DNA-binding transcription factor activity	is a part of regulation of DNA-templated transcription,uses Mdga2		IDA		J:219240 	
MGI:106927	Aff3	AF4/FMR2 family, member 3	1		DNA-binding transcription factor activity	is a part of regulation of DNA-templated transcription,uses Mdga2		IMP		J:219240 	
MGI:106927	Aff3	AF4/FMR2 family, member 3	1		DNA-binding transcription factor activity			TAS		J:76005 	
MGI:2444218	Ahdc1	AT hook, DNA binding motif, containing 1	4		DNA-binding transcription factor activity			ISO	Q5TGY3 	J:164563 	
MGI:2444218	Ahdc1	AT hook, DNA binding motif, containing 1	4		DNA-binding transcription factor activity			ISS	Q5TGY3 	J:342587 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity			IDA		J:14760 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity			IDA		J:153 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity			IDA		J:242131 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity			ISO	P35869 	J:164563 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity			ISO	P35869 	J:75462 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity			TAS		J:65378 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		DNA-binding transcription factor activity, RNA polymerase II-specific			IDA		J:131871 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		nuclear receptor activity			IBA	PTN004180845 RGD:2074 	J:161428 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		nuclear receptor activity	is a part of cellular response to 2,3,7,8-tetrachlorodibenzodioxine,happens in hepatocyte,happens in nucleus,uses Slc46a3		IDA		J:300865 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		nuclear receptor activity			IDA		J:477 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12	contributes_to	nuclear receptor activity			ISO	P35869 	J:164563 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		nuclear receptor activity			ISO	RGD:2074 	J:155856 	
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		nuclear receptor activity			ISO	P35869 	J:164563 	
MGI:1333776	Ahrr	aryl-hydrocarbon receptor repressor	13		nuclear receptor activity			IBA	PTN004180845 RGD:2074 	J:161428 	
MGI:2141510	AI854703	expressed sequence AI854703	6		DNA-binding transcription factor activity			IBA	MGI:1920441 MGI:2682609 P07247 P56270 PTN002811104 Q66K89 Q9BU19 S000005639 	J:161428 	
MGI:2142079	AI987944	expressed sequence AI987944	7		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:104786 PTN002810224 RGD:708346 	J:161428 	
MGI:1338803	Aire	autoimmune regulator	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IEA	PTHR46386 	J:345476 	
MGI:104621	Alx1	ALX homeobox 1	10		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN002803087 Q15699 	J:161428 	
MGI:104621	Alx1	ALX homeobox 1	10		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	Q15699 	J:164563 	
MGI:104621	Alx1	ALX homeobox 1	10		DNA-binding transcription factor activity			IDA		J:51128 	
MGI:104621	Alx1	ALX homeobox 1	10		DNA-binding transcription factor activity			ISO	RGD:2273 	J:155856 	
MGI:1277097	Alx3	aristaless-like homeobox 3	3		DNA-binding transcription factor activity			ISO	Q6RW14 	J:73065 	
MGI:1277097	Alx3	aristaless-like homeobox 3	3		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:106633 MGI:108359 MGI:1097716 MGI:1100882 MGI:1918847 O14813 PTN004692309 Q15699 Q8N693 Q96QS3 Q99453 	J:161428 	
MGI:108359	Alx4	aristaless-like homeobox 4	2		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	MGI:108359 PTN002803099 	J:161428 	
MGI:108359	Alx4	aristaless-like homeobox 4	2		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:51128 	
MGI:108359	Alx4	aristaless-like homeobox 4	2		DNA-binding transcription factor activity			IDA		J:50255 	
MGI:108359	Alx4	aristaless-like homeobox 4	2		DNA-binding transcription factor activity			IDA		J:51128 	
MGI:108359	Alx4	aristaless-like homeobox 4	2		DNA-binding transcription factor activity			IDA		J:73689 	
MGI:88064	Ar	androgen receptor	X		DNA-binding transcription activator activity, RNA polymerase II-specific			IEA	ENSP00000363822 P10275 	J:342605 	
MGI:88064	Ar	androgen receptor	X		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P10275 	J:164563 	
MGI:88064	Ar	androgen receptor	X		DNA-binding transcription factor activity			IDA		J:105872 	
MGI:88064	Ar	androgen receptor	X		DNA-binding transcription factor activity			IDA		J:78409 	
MGI:88064	Ar	androgen receptor	X		DNA-binding transcription factor activity			IDA		J:87326 	
MGI:88064	Ar	androgen receptor	X		DNA-binding transcription factor activity			ISO	P10275 	J:164563 	
MGI:88064	Ar	androgen receptor	X		DNA-binding transcription factor activity			ISS	P10275 	J:342587 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			IBA	MGI:1352467 MGI:88064 MGI:97567 P03372 P04150 PTN002377694 Q92731 RGD:2147 	J:161428 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			IDA		J:207823 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			IDA		J:240274 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			IDA		J:78409 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			IDA		J:91599 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			ISO	RGD:2147 	J:155856 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			ISO	P10275 	J:164563 	
MGI:88064	Ar	androgen receptor	X		nuclear receptor activity			ISS	P10275 	J:342587 	
MGI:1916960	Arap1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	7		DNA-binding transcription factor activity			ISS	P05412 	J:342587 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3		DNA-binding transcription factor activity			IDA		J:261828 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3		DNA-binding transcription factor activity			IDA		J:93202 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3		DNA-binding transcription factor activity			ISO	P27540 	J:164563 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3		DNA-binding transcription factor activity			TAS		J:65378 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:107188 MGI:1096381 MGI:88071 P27540 PTN000548496 Q8WYA1 Q9HBZ2 	J:161428 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3	contributes_to	DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	P27540 	J:164563 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3	contributes_to	nuclear receptor activity			IMP	MGI:2176696 	J:64967 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3	contributes_to	nuclear receptor activity			ISO	P27540 	J:164563 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3	contributes_to	nuclear receptor activity			ISS	P27540 	J:342587 	
MGI:107188	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	7		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:31945 	
MGI:107188	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	7		DNA-binding transcription factor activity			IDA		J:31945 	
MGI:107188	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	7		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:107188 MGI:1096381 MGI:88071 P27540 PTN000548496 Q8WYA1 Q9HBZ2 	J:161428 	
MGI:107188	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	7		DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	Q9HBZ2 	J:164563 	
MGI:1097716	Arx	aristaless related homeobox	X		DNA-binding transcription activator activity, RNA polymerase II-specific			IEA	ENSP00000368332 Q96QS3 	J:342605 	
MGI:1097716	Arx	aristaless related homeobox	X		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	Q96QS3 	J:164563 	
MGI:1097716	Arx	aristaless related homeobox	X		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:106633 MGI:108359 MGI:1097716 MGI:1100882 MGI:1918847 O14813 PTN004692309 Q15699 Q8N693 Q96QS3 Q99453 	J:161428 	
MGI:1097716	Arx	aristaless related homeobox	X		DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	Q96QS3 	J:203650 	
MGI:1097716	Arx	aristaless related homeobox	X		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:98803 	
MGI:1097716	Arx	aristaless related homeobox	X		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	Q96QS3 	J:164563 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		DNA-binding transcription factor activity			IDA		J:119653 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		DNA-binding transcription factor activity			IDA		J:241054 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		DNA-binding transcription factor activity			ISO	P50553 	J:164563 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:1928820 MGI:2685043 MGI:96920 P50553 PTN000358347 Q99929 	J:161428 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		DNA-binding transcription repressor activity, RNA polymerase II-specific			IEA	ENSP00000266744 P50553 	J:342605 	
MGI:96919	Ascl1	achaete-scute family bHLH transcription factor 1	10		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	P50553 	J:164563 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:335660 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription activator activity, RNA polymerase II-specific			IGI	P15806 	J:335660 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription activator activity, RNA polymerase II-specific	uses UniProtKB:Q04887,uses UniProtKB:Q9QXZ7,uses UniProtKB:P06876		IGI	Q60722 	J:224020 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription activator activity, RNA polymerase II-specific	uses UniProtKB:Q04683,uses UniProtKB:P70658		IMP		J:208784 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription activator activity, RNA polymerase II-specific	uses UniProtKB:Q921I2		IMP		J:224020 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription factor activity			ISO	RGD:2159 	J:155856 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:1928820 MGI:2685043 MGI:96920 P50553 PTN000358347 Q99929 	J:161428 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription repressor activity, RNA polymerase II-specific			IGI	Q60722 Q61286 	J:335660 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription repressor activity, RNA polymerase II-specific	uses UniProtKB:P47774,uses UniProtKB:Q62170		IMP		J:208784 	
MGI:96920	Ascl2	achaete-scute family bHLH transcription factor 2	7		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	Q99929 	J:164563 	
MGI:1928820	Ascl3	achaete-scute family bHLH transcription factor 3	7		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:1928820 MGI:2685043 MGI:96920 P50553 PTN000358347 Q99929 	J:161428 	
MGI:1928820	Ascl3	achaete-scute family bHLH transcription factor 3	7		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:73675 	
MGI:1914591	Ascl4	achaete-scute family bHLH transcription factor 4	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:1928820 MGI:2685043 MGI:96920 P50553 PTN000358347 Q99929 	J:161428 	
MGI:2685043	Ascl5	achaete-scute family bHLH transcription factor 5	1		DNA-binding transcription activator activity, RNA polymerase II-specific			IMP		J:279055 	
MGI:2685043	Ascl5	achaete-scute family bHLH transcription factor 5	1		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:1928820 MGI:2685043 MGI:96920 P50553 PTN000358347 Q99929 	J:161428 	
MGI:2685043	Ascl5	achaete-scute family bHLH transcription factor 5	1		DNA-binding transcription repressor activity, RNA polymerase II-specific	uses UniProtKB:P09803,happens in ameloblast		IMP		J:279055 	
MGI:1298366	Atf1	activating transcription factor 1	15		DNA-binding transcription activator activity, RNA polymerase II-specific			IEA	ENSP00000262053 P18846 	J:342605 	
MGI:1298366	Atf1	activating transcription factor 1	15		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P18846 	J:164563 	
MGI:1298366	Atf1	activating transcription factor 1	15		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:88494 P16220 P18846 PTN001119557 Q03060 RGD:1307360 RGD:620218 	J:161428 	
MGI:1298366	Atf1	activating transcription factor 1	15		DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	RGD:1307360 	J:155856 	
MGI:3037720	Atf1-ps	activating transcription factor 1, pseudogene	X		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P18846 	J:164563 	
MGI:109349	Atf2	activating transcription factor 2	2		DNA-binding transcription activator activity, RNA polymerase II-specific	happens in SO:0001668,uses Pparg		IDA		J:156376 	
MGI:109349	Atf2	activating transcription factor 2	2		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P15336 	J:164563 	
MGI:109349	Atf2	activating transcription factor 2	2		DNA-binding transcription factor activity			ISO	P15336 	J:35340 	
MGI:109349	Atf2	activating transcription factor 2	2		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:109349 MGI:2443973 P15336 P17544 PTN004510459 S000000847 S000001298 S000005111 SPBC29B5.01 	J:161428 	
MGI:109384	Atf3	activating transcription factor 3	1		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	RGD:2165 	J:155856 	
MGI:109384	Atf3	activating transcription factor 3	1		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P18847 	J:164563 	
MGI:109384	Atf3	activating transcription factor 3	1		DNA-binding transcription factor activity			ISO	P18847 	J:164563 	
MGI:109384	Atf3	activating transcription factor 3	1		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:109384 MGI:1859147 MGI:1932093 MGI:95574 MGI:95575 P01100 P15408 P18847 PTN001156258 Q8WYK2 Q9NR55 RGD:2165 RGD:2627 	J:161428 	
MGI:109384	Atf3	activating transcription factor 3	1		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:108648 	
MGI:109384	Atf3	activating transcription factor 3	1		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	P18847 	J:164563 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	MGI:88096 PTN000315883 Q9Y2D1 SPAC25G10.03 	J:161428 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription activator activity, RNA polymerase II-specific			IMP		J:210921 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription factor activity			IDA		J:198492 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription factor activity			IDA		J:198927 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription factor activity			IDA		J:89403 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription factor activity			IMP		J:137331 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription factor activity			ISO	P18848 	J:164563 	
MGI:88096	Atf4	activating transcription factor 4	15	contributes_to	DNA-binding transcription factor activity, RNA polymerase II-specific	happens in vascular associated smooth muscle cell,uses Slc20a2,uses Slc20a1		IDA		J:237331 	
MGI:88096	Atf4	activating transcription factor 4	15		DNA-binding transcription factor activity, RNA polymerase II-specific			ISO	P18848 	J:164563 	
MGI:2141857	Atf5	activating transcription factor 5	7		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	MGI:88096 PTN000315883 Q9Y2D1 SPAC25G10.03 	J:161428 	
MGI:2141857	Atf5	activating transcription factor 5	7		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	Q9Y2D1 	J:164563 	
MGI:2141857	Atf5	activating transcription factor 5	7		DNA-binding transcription factor activity			ISO	RGD:628902 	J:155856 	
MGI:2141857	Atf5	activating transcription factor 5	7		DNA-binding transcription factor activity			ISO	Q9Y2D1 	J:164563 	
MGI:2141857	Atf5	activating transcription factor 5	7		DNA-binding transcription factor activity			ISS	Q6P788 	J:342587 	
MGI:2141857	Atf5	activating transcription factor 5	7		DNA-binding transcription factor activity			ISS	Q9Y2D1 	J:342587 	
MGI:1926157	Atf6	activating transcription factor 6	1		DNA-binding transcription activator activity, RNA polymerase II-specific			IEA	ENSP00000356919 P18850 	J:342605 	
MGI:1926157	Atf6	activating transcription factor 6	1		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	P18850 	J:164563 	
MGI:1926157	Atf6	activating transcription factor 6	1		DNA-binding transcription factor activity			ISO	P18850 	J:164563 	
MGI:1926157	Atf6	activating transcription factor 6	1		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	P18850 PTN005284906 Q99941 	J:161428 	
MGI:105121	Atf6b	activating transcription factor 6 beta	17	contributes_to	DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	Q99941 	J:164563 	
MGI:105121	Atf6b	activating transcription factor 6 beta	17		DNA-binding transcription factor activity			ISO	Q99941 	J:164563 	
MGI:105121	Atf6b	activating transcription factor 6 beta	17		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	P18850 PTN005284906 Q99941 	J:161428 	
MGI:2443472	Atf7	activating transcription factor 7	15		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:109349 MGI:2443973 P15336 P17544 PTN004510459 S000000847 S000001298 S000005111 SPBC29B5.01 	J:161428 	
MGI:2443472	Atf7	activating transcription factor 7	15		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	P17544 	J:164563 	
MGI:2682328	Atmin	ATM interactor	8		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:186112 	
MGI:2682328	Atmin	ATM interactor	8		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:2682328 PTN000834395 	J:161428 	
MGI:104654	Atoh1	atonal bHLH transcription factor 1	6		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:211249 	
MGI:104654	Atoh1	atonal bHLH transcription factor 1	6		DNA-binding transcription factor activity			IBA	MGI:103239 MGI:104654 MGI:106593 MGI:107755 MGI:1339708 MGI:1355331 MGI:1918343 MGI:1930001 MGI:891976 MGI:893591 PTN000446010 Q13562 Q96SQ7 Q9Y4Z2 RGD:631350 	J:161428 	
MGI:1355553	Atoh7	atonal bHLH transcription factor 7	10		DNA-binding transcription factor activity			IBA	MGI:103239 MGI:104654 MGI:106593 MGI:107755 MGI:1339708 MGI:1355331 MGI:1918343 MGI:1930001 MGI:891976 MGI:893591 PTN000446010 Q13562 Q96SQ7 Q9Y4Z2 RGD:631350 	J:161428 	
MGI:1355553	Atoh7	atonal bHLH transcription factor 7	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IEA	PTHR19290 	J:345476 	
MGI:1918343	Atoh8	atonal bHLH transcription factor 8	6		DNA-binding transcription factor activity			IBA	MGI:103239 MGI:104654 MGI:106593 MGI:107755 MGI:1339708 MGI:1355331 MGI:1918343 MGI:1930001 MGI:891976 MGI:893591 PTN000446010 Q13562 Q96SQ7 Q9Y4Z2 RGD:631350 	J:161428 	
MGI:1918343	Atoh8	atonal bHLH transcription factor 8	6		DNA-binding transcription factor activity			IDA		J:210057 	
MGI:1918343	Atoh8	atonal bHLH transcription factor 8	6		DNA-binding transcription factor activity			ISO	Q96SQ7 	J:164563 	
MGI:1918343	Atoh8	atonal bHLH transcription factor 8	6		DNA-binding transcription factor activity, RNA polymerase II-specific			IEA	PTHR19290 	J:345476 	
MGI:2143755	AU041133	expressed sequence AU041133	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:104786 PTN002810224 RGD:708346 	J:161428 	
MGI:3588191	B020011L13Rik	RIKEN cDNA B020011L13 gene	1		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	P35789 P52738 PTN001225435 Q86Y25 Q96RE9 Q9Y473 	J:161428 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:41872 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription factor activity			IDA		J:146868 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription factor activity			IDA		J:41872 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:102755 MGI:1335091 MGI:894679 MGI:894680 O14867 PTN002918884 Q96BF6 Q96BR9 	J:161428 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:41872 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISO	O14867 	J:164563 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		DNA-binding transcription repressor activity, RNA polymerase II-specific			ISS	O14867 	J:342587 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		ligand-activated transcription factor activity			IEA	ENSP00000286800 O14867 	J:342605 	
MGI:894680	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	16		ligand-activated transcription factor activity			ISO	O14867 	J:164563 	
MGI:894679	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2	4		DNA-binding transcription factor activity			IDA		J:41872 	
MGI:894679	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2	4		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:102755 MGI:1335091 MGI:894679 MGI:894680 O14867 PTN002918884 Q96BF6 Q96BR9 	J:161428 	
MGI:894679	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2	4		DNA-binding transcription repressor activity, RNA polymerase II-specific			IDA		J:41872 	
MGI:1859288	Barhl1	BarH like homeobox 1	2		DNA-binding transcription activator activity, RNA polymerase II-specific	happens in SO:0001668,uses Barhl1		IDA		J:132646 	
MGI:1859288	Barhl1	BarH like homeobox 1	2		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:1859288 MGI:1859314 PTN001551673 Q9UMQ3 	J:161428 	
MGI:1859314	Barhl2	BarH like homeobox 2	5		DNA-binding transcription activator activity, RNA polymerase II-specific	happens in SO:0001668,uses Barhl1		IDA		J:132646 	
MGI:1859314	Barhl2	BarH like homeobox 2	5		DNA-binding transcription factor activity			ISO	RGD:620726 	J:155856 	
MGI:1859314	Barhl2	BarH like homeobox 2	5		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:1859288 MGI:1859314 PTN001551673 Q9UMQ3 	J:161428 	
MGI:103124	Barx1	BarH-like homeobox 1	13		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:1859288 MGI:1859314 PTN001551673 Q9UMQ3 	J:161428 	
MGI:109617	Barx2	BarH-like homeobox 2	9		DNA-binding transcription activator activity, RNA polymerase II-specific			IEA	ENSP00000281437 Q9UMQ3 	J:342605 	
MGI:109617	Barx2	BarH-like homeobox 2	9		DNA-binding transcription activator activity, RNA polymerase II-specific			ISO	Q9UMQ3 	J:164563 	
MGI:109617	Barx2	BarH-like homeobox 2	9		DNA-binding transcription factor activity			IDA		J:98500 	
MGI:109617	Barx2	BarH-like homeobox 2	9		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	MGI:1859288 MGI:1859314 PTN001551673 Q9UMQ3 	J:161428 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		DNA-binding transcription activator activity, RNA polymerase II-specific			IDA		J:190118 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		DNA-binding transcription activator activity, RNA polymerase II-specific			IMP		J:190118 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		DNA-binding transcription factor activity			IDA		J:150643 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		DNA-binding transcription factor activity			IDA		J:172119 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		DNA-binding transcription factor activity			IDA		J:188767 	
