© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
RICTOR	other	5.04E-15	BAX,BCL2L11,NAT8,PAK1,POMP,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD6,PSMD7,PSMD8,PSME1,PSME2,PSME3,PSME4,SEM1,TRIM21	 
GABA	chemical - endogenous mammalian	1.08E-14	AP1S2,AP3B2,ATP2A2,ATP2A3,B4GALT6,B4GALT7,C1GALT1C1,CHPF,CKAP4,CLTC,CSNK2A1,CTBP1,CUL3,DERL2,DNAJA1,DOLK,DPM1,DPM3,EIF2AK4,ERO1B,FUT1,FUT8,GANAB,GGA3,GLB1,GNPTAB,HERPUD1,HEXA,HSPA5,HYOU1,IGF1R,ITPR1,LMAN1,MAN2A1,MAPK9,MBTPS2,OS9,PDIA3,PDIA4,PDIA6,PRKCSH,PRKN,RAB5B,SEC24A,SEC31A,SEC61G,SEC62,SKP1,ST3GAL5,STT3A,TP53,UBA1,UBE2M,UBE2N,UBQLN2,UGGT2,VCP,YOD1	 
CGA	other	2.24E-14	BAX,C1GALT1C1,CLGN,DDIT3,DNAJB11,DNAJB9,EDEM2,ERLEC1,FKBP11,FKBP14,FKBP2,FKBP4,FOXO1,HERPUD1,HSP90B1,HSPA5,HYOU1,OS9,PDIA3,PDIA4,PDIA6,PPIB,SDF2L1,SIL1,SSR2,SSR4,TXNDC12	157 (3)
NFE2L2	transcription regulator	2.24E-14	AGAP1,ARF1,ARHGAP5,ATF4,ATF6,ATG7,B4GALNT1,BCL2,CCT3,CCT7,COPS5,CUL1,DAD1,DDIT3,DNAJB11,DNAJB5,DNAJC3,EIF2AK3,EIF2S1,ERP29,FKBP5,FMO1,HERPUD1,HM13,HSP90AA1,HSP90AB1,HSP90B1,HSPA9,HYOU1,MAPK10,MCFD2,MOGS,NAT8B,NBR1,NDST1,OGT,PDIA3,PDIA4,PDIA6,PLIN2,POMP,PPIB,PSMA1,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMC1,PSMC3,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD3,PSMD4,PSMD5,PSMD7,PTPN1,RACK1,RYR3,SEC23A,SEC61A1,SLC35A2,SLC35B1,ST8SIA4,TMED2,TP53,UBB,UBE2K,UBQLN2,USO1,USP14,VCP,XBP1	232 (5)
resiquimod	chemical drug	2.69E-14	ACTR2,ACTR3,APPL2,ARPC1B,ARPC2,ARPC4,ARPC5,ATF4,ATF6,BCL2,CHST2,CHST9,DDIT3,DNAJB9,DNAJC3,EIF2AK2,FOXO1,HERPUD1,HSP90AA1,HSP90AB1,HSPA5,HSPB1,PML,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD8,PSME2,PSME3,PTPN1,RAB29,RAB7A,STX12,TP53,TRIM22,TRIM5,XBP1	249 (7)
FREY1	other	3.20E-14	CALR,CANX,CCT2,CLGN,HSP90B1,HSPA2,HSPA5,HSPA8,OSTC,P4HB,PDIA3,PDIA6,RPN2	 
ATF6	transcription regulator	6.54E-14	ATP2A2,BAX,BCL2,CALR,DDIT3,DERL3,DNAJB11,DNAJC3,HERPUD1,HSP90B1,HSPA5,HYOU1,LMAN1,MBTPS2,PDIA4,PDIA6,PLIN2,SEL1L,SELENOK,SLC35B1,SYVN1,TNFRSF10B,TXNDC5,WFS1,XBP1	323 (9)
TMBIM6	other	8.80E-14	ATG5,DDIT3,DNAJB9,EDEM1,EIF2A,ERN1,ERO1B,HERPUD1,HSPA5,MAPK8,SEC61A1,WFS1,XBP1	152 (5)
ELL2	transcription regulator	1.40E-13	ARFGAP3,DNAJB9,DNAJC3,EDEM1,EDEM2,EDEM3,FKBP2,FUT8,HM13,HSPA13,LMAN1,MAN1B1,SEC24D,SEC61A1,SEL1L,SLC33A1,SPCS1,SRPRA,UBE2J1,XBP1	 
G PROTEIN ALPHA (family)	group	1.46E-13	ALG3,ALG5,ARFIP2,B3GALT2,BAG2,CALR,CHPF,CHST12,CHST14,CMAS,COG6,COPB2,COPE,DDOST,DOLK,EXOC6,NAPB,PDIA4,RPN1,SEC13,SPCS1,SPCS3,SRPRA,TMED3,UBL4A	 
maprotiline	chemical drug	2.09E-13	ATF4,ATF6,CALR,DDIT3,DNAJB9,DNAJC3,EIF2AK3,ERN1,HSPA5,XBP1	135 (6)
HNF4A	transcription regulator	2.55E-13	ACTR3,AGA,AP1M1,AP3B1,AP3M1,ARFGAP1,ARFGEF1,ARFIP2,ARPC5,ATF4,ATF6B,BAG6,BET1,BNIP1,CAPN2,CAPN8,CCT8,CHMP4A,CHST9,CLPB,CLTA,COPB1,COPB2,COPS7A,COPS7B,COPS8,COPZ1,CSNK2A1,CTSA,CYTH2,DAD1,DDOST,DERL1,DNAJA2,DNAJB4,DNAJB9,DNAJC14,DPAGT1,DPM1,DPM2,EDEM3,ERO1A,FKBP10,FKBP3,FMO1,FOXO1,FURIN,FUT10,FUT11,FUT3,FUT5,FUT6,FUT8,GBF1,GGCX,GOLGA4,GPLD1,HEXA,HSP90B1,HSPA4L,HSPA5,HSPA8,HSPH1,IGF1R,JKAMP,KCNN2,KIF20A,LMAN2L,NAPA,NAT8,NBR1,NCOA3,NSF,PAAF1,PDIA5,PIGN,PIGS,PIK3C3,PLAA,PPIL1,PPIL2,PPP1R15B,PSMA1,PSMA2,PSMA3,PSMA5,PSMB1,PSMB5,PSMB7,PSMC4,PSMD1,PSMD10,PSMD7,PSMD8,PSME3,RAB10,RAB11A,RAB18,RAB1B,RAB2A,RAB30,RAB33B,RAB3C,RAB7A,RABGEF1,RNF5,ROCK1,SCYL3,SEC11A,SEC11C,SEC23A,SEC23IP,SEC24D,SEC31A,SEC61B,SEL1L,SEM1,SLC33A1,SLC35A1,SLC35A2,SLC35A3,SLC35A5,SLC35B1,SLC35D1,SNAP23,SORCS3,SPCS2,SPCS3,SRP19,SRP54,SRP68,SRPRA,SRPRB,SSR2,SSR3,STT3A,STX17,STX18,TBC1D10A,TBC1D15,TBC1D16,TBC1D17,TBC1D23,TMBIM6,TMX2,TRAPPC13,TRAPPC3,TRAPPC4,TRAPPC6A,TRAPPC8,TRIM5,TSG101,TXNDC12,UBA5,UBE2D3,UBE2M,UBE2N,UBQLN1,UBQLN2,UFM1,USO1,VAMP1,VAMP5,VIPAS39,VKORC1,VPS51,XBP1,YKT6	 
HSP90B1	other	2.93E-13	ARF1,ARF3,ARF5,CALR,CANX,HSP90B1,HSPA5,PKD2,PPIF,RAB10,RAB13,RAB15,RAB2A,RAB8B,SSR3,SSR4,VAMP2,VAMP3,VAMP8,XBP1	301 (10)
cystemustine	chemical drug	4.65E-13	PSMA1,PSMA5,PSMA6,PSMB1,PSMB5,PSMC1,PSMC2,PSMD4,PSMD8	 
Z-LLL-CHO	chemical - protease inhibitor	1.13E-12	ABL1,AGR2,AKT1,ATF4,BAX,BCL2,BCL2L11,CCT2,CRYAA/LOC102724652,CRYAB,CSNK1A1,DDIT3,EIF2AK3,FKBP4,FOXO1,HAS2,HSP90AA1,HSP90AB1,HSP90B1,HSPA4,HSPA5,HSPA8,HSPA9,HSPB1,IRS1,ITPR2,ITPR3,LMAN1,OPTN,PPIA,PSMA3,PSMB3,PSMB7,PSMC1,PSMC4,PSMC6,PSMD1,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,RAB10,SIAH1,STXBP5,TNFRSF10B,TNK2,TP53,UBE2N,VAMP8,WAS	358 (15)
prostaglandin J2	chemical - endogenous mammalian	1.35E-12	HSPA1A/HSPA1B,PSMA2,PSMA3,PSMA5,PSMA6,PSMB2,PSMB3,PSMB4,PSMB7,PSMC5,PSMD1,PSMD12,PSMD3,PSMD6,PSMD8	 
MEK (family)	group	2.63E-12	A4GALT,ALG9,AXL,B3GALNT1,B3GALNT2,B3GNT2,B3GNT5,B4GALT3,B4GALT5,B4GALT6,B4GAT1,BCL2L11,BECN1,CRYAB,EDEM1,EXT1,EXT2,FKTN,FUT10,FUT11,GALNT10,GALNT18,GCNT2,GXYLT1,GXYLT2,HAS2,HSPB1,JKAMP,MGAT5,NAGPA,POMK,POMT1,POMT2,ROCK1,ROCK2,RPN1,RPN2,RXYLT1,ST3GAL2,ST6GAL1,ST6GALNAC2,ST8SIA1,STT3A,STT3B,TNFRSF10B,TP53,UGT8	330 (8)
GnRH analog	biologic drug	2.76E-12	ABO,AKAP10,AP3D1,AP3S2,ARHGAP1,ARHGEF7,BICD2,CALR,CAPNS1,CHMP2A,CLTA,CNPY3,CYTH1,DDOST,DNAJC8,EXT2,FKBP1A,GET3,HSP90AB1,HSPA2,ITPR1,ITPR3,NCOA3,PPIA,PPIG,PSMA6,PSMB3,PSMB4,PSMB7,PSMD1,PSMD13,RAB5C,RAB8A,RER1,SEC22B,SLC35A3,SSR1,STX2,TMBIM6,TNK2,TP53,UBE2D3,UBE2M,UBR4,VCP,VPS52	 
KRAS	enzyme	3.49E-12	ACTR3,AGR2,ALG9,ARHGEF2,ARPC3,ATF6,ATG5,ATG7,AXL,B3GALNT1,B3GALNT2,B4GALT5,B4GAT1,BAG1,BAK1,BCL2,CCT5,CHST11,CHST3,CHSY1,CRYAB,CSNK1A1,CSNK2A1,DDIT3,EDEM1,EIF2AK2,EIF2AK3,ERO1A,EXT1,EXT2,FKBP11,FKTN,FUT10,FUT11,GALNT1,GALNT10,GALNT11,GALNT18,GALNT3,GCNT1,GCNT3,GNPTAB,GXYLT2,HAS1,HEXA,HM13,HSPA5,HSPB1,HYOU1,IGF1R,JKAMP,MAN2A1,MAN2A2,MAPK8,MGAT4A,MGAT5,MTOR,NAGPA,NDE1,NSF,OTUB1,PAK1,PDIA2,PDIA3,PIK3CA,POMK,POMP,PRDX4,PSMA7,PSMB10,PSMB8,PSMB9,PSMC6,RAB20,RAB27A,RAB7A,ROCK1,RPN1,RPN2,RXYLT1,SEC11C,SLC35B1,ST3GAL1,ST3GAL2,ST3GAL4,ST3GAL6,ST6GAL1,ST6GALNAC2,STUB1,TCP1,TMED9,TMX3,TNFRSF10B,TP53,TUSC3,UBA1,UGT8,VAPA,VCP	323 (9)
SFTPC	other	6.41E-12	ATF4,BAX,DDIT3,HSPA5,PSMA5,PSMA7,PSMB4,PSMB5,PSMC2,PSMC3,PSMC6,PSMD11,PSMD14,PSMD2,PSMD4	 
CpG ODN 2006	chemical reagent	1.46E-11	ACTR2,ACTR3,APPL2,ARPC1B,ARPC2,ARPC4,ARPC5,HSP90AA1,HSP90AB1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMB1,PSMB2,PSMB3,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD13,PSMD14,PSMD2,PSMD3,PSMD8,PSME2,PSME3,RAB29,TP53,TRIM5,XBP1	 
Sch-23390	chemical drug	1.52E-11	ATF4,ATF6,CRYAB,DAD1,DDIT3,DNAJA1,DNAJB1,DNAJB5,DNAJC3,HERPUD1,HSPA5,HSPA9,HSPB1,HSPB8,PDIA4,RYR1	103 (3)
EGFR	kinase	2.54E-11	A4GALT,AKT1,ALG9,ARHGAP1,B3GALNT1,B3GALNT2,B3GNT2,B3GNT5,B4GALT3,B4GALT5,B4GAT1,BAX,BCL2,BCL2L11,CCT5,CRYAB,CSNK1A1,CUL1,CUL3,DDIT3,EDEM1,EXT2,FKBP11,GALNT10,GALNT18,GCNT2,GXYLT1,GXYLT2,HAS2,HERPUD1,HM13,HSP90B1,HSPA5,HSPB1,JKAMP,MGAT1,MGAT4A,MGAT4B,MGAT5,MPPE1,NSF,PDIA2,PPIA,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,RPN1,SDF2L1,SEC61A2,ST3GAL2,ST3GAL4,ST6GAL1,ST6GALNAC2,STT3A,STX16,TPST1,TUSC3,UBA1,UGT8	404 (12)
TGS1	enzyme	2.56E-11	ATF4,ATF6,DDIT3,DNAJB9,EIF2AK3,ERN1,HERPUD1,HSPA5,HYOU1,PREB,SRPRA,TMX4,UFM1,WFS1,XBP1	 
ceapin-A7	chemical reagent	3.10E-11	CALR,DDIT3,DNAJB11,ERP44,HERPUD1,HSP90B1,HSPA5,HYOU1,PDIA4,PDIA6,SEL1L,SELENOK	 
mibolerone	chemical drug	4.35E-11	ARF4,CALR,CLTA,CLTB,CLTC,DAD1,DNAJA4,DNAJB11,EIF2S1,ERP29,FKBP11,FKBP1A,FKBP5,HEXB,HSP90B1,HSPA5,HYOU1,MAN2A1,P4HB,PPIA,PPIB,SCAP,SEC23B,SERP1,TMED3,UFM1,USO1	 
geldanamycin	chemical drug	5.05E-11	AKT2,ARAF,ARF1,BAX,BCL2,DNAJB1,DNAJB2,DNAJC1,DNAJC7,EIF2AK2,EIF2S1,FKBP4,FKBP5,HEXB,HSP90AA1,HSP90AB1,HSP90B1,HSPA1A/HSPA1B,HSPA5,IRS1,MTOR,NEDD4,PAK1,PPID,PSMC3,QSOX1,RAB10,RAB11B,RAB1B,RAB21,RAB2A,RAB2B,RAB35,RAB5A,RAB5C,RAB6A,RAB7A,RAB8B,TP53,TRAP1	321 (11)
RAD51	enzyme	8.86E-11	BAX,BCL2L11,CYTH2,DDIT3,PSMA5,PSMC1,PSMC2,PSMC3,PSMC6,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD9,PSME3,TP53	 
